Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.9748878923766816,1.0,0.8133333333333334,0.8970588235294118
Logistic Regression,0.9524663677130045,0.9801980198019802,0.66,0.7888446215139442
SVM,0.9757847533632287,0.992,0.8266666666666667,0.9018181818181819
